package-name,software-name
com.baidu.input_mi,百度输入法小米定制版
com.iflytek.inputmethod.miui,讯飞输入法小米定制版
com.sohu.inputmethod.sogou.xiaomi,搜狗输入法小米定制版
com.mi.liveassistant,小米直播助手
com.miui.newhome,内容中心
com.miui.smarttravel,智能出行
com.miui.yellowpage,黄页
com.mfashiongallery.emag,小米画报
com.xiaomi.mibrain.speech,系统语音引擎
cn.wps.moffice_eng.xiaomi.lite,小米文档查看器
com.miui.newmidrive,小米网盘
com.miui.hybrid,快应用服务框架
com.xiaomi.payment,小米支付
com.mipay.wallet,小米钱包
com.android.browser,浏览器

com.xiaomi.market,应用市场
com.miui.securitycenter,安全中心
